Localização; Produto; Marca; Quantidade; Unidade; Observação
Armário TI 01; Cooler para processador Intel; DEX-DX; 15; un;
Armário TI 01; Teclado KB 110 com fio; KB; 2; un; Modelo KB 110
Armário TI 01; Teclado com fio; Dell; 1; un;
Armário TI 01; Kit teclado e mouse; Logitech; 1; kit;
Armário TI 01; Teclado numérico; Tomate; 1; un;
Armário TI 01; Leitor de DVD; Tomate; 1; un;
Armário TI 01; Cartão PVC para crachá; Extracard; 700; un;
Armário TI 01; Mouse com fio; Goldentech; 5; un;
Armário TI 01; Mouse wireless; Xingling; 2; un;
Armário TI 01; Pasta térmica; Implastec; 5; pote; Thermal Silver, 50 g
Armário TI 01; Conector RJ45 Cat5E; Atek; 500; un; Cat5E; 5 caixas com 100
Armário TI 01; Conector RJ45 blindado CAT5; Exbom; 200; un; CAT5; 2 caixas com 100
Armário TI 01; Conector RJ45; Xinkling; 1000; un; 1 saco com 1000
Armário TI 01; Cadeado chave tetra; Xingling; 36; un; 3 kits x 12
Armário TI 01; Jogo de chaves — 6 peças; Xingling; 1; kit; 6 peças
Armário TI 01; Jogo de chaves — 8 peças; Xingling; 1; kit; 8 peças
Armário TI 01; Módulo para tomada; Tramontina; 11; un; Lizflex
Armário TI 01; Caixa com tampa de sobrepor para tomada; Tramontina; 11; un; Lizflex
Armário TI 01; Limpa contato; Tekbond; 7; un;
Armário TI 01; Keystone Jack para RJ45; Xingling; 20; un;
Armário TI 01; Conector linear de emenda para cabo RJ45 CAT6; Xingling; 28; un; CAT6
Armário TI 01; Hub USB 3.0; Exbom; 2; un; USB 3.0
Armário TI 01; Fita isolante; Adelbras; 4; rolo;
Armário TI 01; Adaptador HDMI para VGA; Exbom; 2; un; HDMI → VGA
Armário TI 01; Cabo adaptador DisplayPort para VGA; Exbom; 8; un; DisplayPort → VGA
Armário TI 01; Pilha AAA; Elgin; 3; un; AAA
Armário TI 01; Teclado; Lenovo; 5; un;
Armário TI 01; Switch JetStream 8 portas; TP-Link; 3; un; 8 portas
Armário TI 01; Switch 26 portas; Dell; 1; un; 26 portas
Armário TI 01; Switch 5 portas 10/100 PoE; TP-Link; 3; un; 5 portas, 10/100, PoE
Armário TI 01; Telefone VoIP TIP 125I; Intelbras; 14; un; TIP 125I
Armário TI 01; Telefone VoIP V5502; Intelbras; 1; un; V5502
Armário TI 01; RouterBoard; MikroTik; 2; un; HEX Series
Armário TI 01; Telefone VoIP TIP 125I — Montado; Intelbras; 1; un; TIP 125I; montado
Armário TI 02; Protetor de crachá — caixa fechada; Reflex; 13; caixa; 50 unidades por caixa
Armário TI 02; Protetor de crachá — unidade avulsa; Reflex; 18; un; Caixa aberta
Armário TI 02; Mousepad; Fênix; 10; un;
Armário TI 02; Abraçadeira de nylon; Stormtech; 8; pacote; 100 unidades por pacote
Armário TI 02; Telefone; Attimo; 4; un; A-G01
Armário TI 02; Toner VersaLink — Preto; Xerox; 1; un; Parte do kit original e 4 cores
Armário TI 02; Toner VersaLink — Ciano; Xerox; 1; un; Parte do kit original e 4 cores
Armário TI 02; Toner VersaLink — Magenta; Xerox; 1; un; Parte do kit original e 4 cores
Armário TI 02; Toner VersaLink — Amarelo; Xerox; 1; un; Parte do kit original e 4 cores
Armário TI 02; Toner AltaLink — Preto; Xerox; 2; un; Parte do kit original e 4 cores
Armário TI 02; Toner AltaLink — Ciano; Xerox; 1; un; Parte do kit original e 4 cores
Armário TI 02; Toner AltaLink — Magenta; Xerox; 2; un; Parte do kit original e 4 cores
Armário TI 02; Toner AltaLink — Amarelo; Xerox; 4; un; Parte do kit original e 4 cores
Armário TI 02; Toner CX735 — Magenta; Lexmark; 1; un; Parte do kit original e 4 cores; CX735
Armário TI 02; Toner CX735 — Amarelo; Lexmark; 1; un; Parte do kit original e 4 cores; CX735
Armário TI 02; Etiqueta para impressão adesiva; Sem marca; 23; rolo;
Armário TI 02; Ribbon para impressora de etiqueta adesiva; Sem marca; 24; rolo;
Armário TI 02; Papel para impressora térmica; Sem marca; 90; rolo;
Armário TI 02; Toner Lexmark XM5365; Lexmark; 1; un; Parte do kit original e 4 cores
